Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,predicted_heating_oil,predicted_heating_oil_log
2,63,3,29.0,7,164.4905819670658,158.13411855816378
10,61,6,53.8,5,237.06686448834293,233.78267833903172
10,79,9,54.5,5,222.2144937734687,217.74563237949243
5,43,9,59.0,7,249.19695983188566,245.95899290791337
5,70,8,39.8,3,176.82823729506316,170.51151059433082
4,88,1,35.9,2,148.03516124102163,147.3649407361459
6,85,7,25.9,5,147.78156793973426,146.9750420187927
9,74,4,61.4,3,230.36676722674983,226.93807253078643
7,78,5,72.8,3,240.65989467466366,239.46268120834685
5,58,4,57.6,1,215.3909064416005,208.2061018314194
7,52,1,57.0,7,246.68046443323334,243.65664926905387
3,55,10,40.4,1,176.6401163538179,169.52074055817056
9,67,9,39.9,6,204.29030757098366,196.92788174780884
2,45,1,17.5,1,139.67704226873255,138.75903948999724
4,61,1,32.2,2,164.4850552591655,159.1193933218391
5,73,8,58.3,3,209.30303705829908,202.4430428100363
5,70,3,70.2,6,244.87290801824489,242.78316172189395
3,59,3,68.3,3,233.65668731951297,228.2806069169513
2,80,2,38.2,6,164.17245317461402,158.97666647396164
10,42,4,30.3,6,212.54125645194526,203.84417557009593
9,61,1,20.8,4,168.37764551584394,162.85053991149329
6,76,10,60.7,2,211.5570069855448,205.56336210086775
8,82,8,72.6,3,240.10357580036944,239.46076288337144
7,51,1,72.4,1,257.7461431820727,259.8082569308772
5,89,2,65.1,7,222.03462390643,216.53819490027328
9,70,3,67.4,1,239.06412961996864,237.6739645459353
3,55,7,20.8,7,159.01454575099515,153.46425060599412
3,48,8,70.1,6,255.2412909658732,254.0816847412507
2,39,6,53.1,7,230.51559164897867,221.88829524388967
8,85,3,63.5,3,221.13221385487958,216.7976139040606
5,54,4,55.1,3,220.46222582241563,213.0647716350724
10,69,4,61.1,5,244.3141699276216,243.46783141992344
2,52,3,44.2,4,193.3717166962964,183.90508184393624
5,54,3,70.5,2,246.67646001709932,244.73914707192617
9,70,8,27.8,7,182.08366114492128,175.21724234043072
3,42,4,66.0,1,237.5560270675489,232.1261933548301
8,71,5,22.6,2,152.2150127113999,150.40877237176116
5,53,5,44.4,2,197.69422220341585,189.21474244467322
4,59,7,29.9,2,160.7905636687238,156.10822591511968
8,61,5,63.4,4,244.6123116723007,242.97977670840825
6,82,2,71.7,3,231.79799396247665,228.55973416190437
2,51,10,70.6,2,236.71868437322405,231.61526764673005
9,56,4,27.4,4,184.70347728044598,177.2049603325944
5,69,6,68.7,8,248.6976055777015,247.21799023871057
8,53,3,67.9,1,250.95236533463827,251.2093662105168
10,44,10,32.9,1,198.8231557391429,191.01996475800124
10,73,1,23.7,3,164.11472990579193,160.25712655174394
8,56,5,27.7,4,181.25882242408582,173.88750730570015
5,60,8,61.7,6,236.55266336580223,231.76698375198723
10,62,5,47.4,8,233.74322553381546,229.04395314479066
10,74,10,18.9,2,149.3686192473304,148.75111699439512
10,75,1,30.8,8,191.67960134834874,184.36908750695042
3,63,4,43.0,7,194.69574867861465,185.5356681868816
7,41,3,30.8,2,190.36067564650511,181.5761434950648
4,67,1,67.1,7,241.29150464922347,237.43651722626686
2,81,3,16.0,7,124.19402800335396,128.79459213768433
4,58,6,49.7,6,212.05693865709463,203.37138168759523
2,41,2,51.9,5,220.88019892817545,211.39716052368152
10,78,4,25.4,5,168.79295508883564,164.27015770988632
10,86,4,48.2,2,195.5728824558563,190.23352525996654
8,56,9,33.6,7,201.2365660645128,192.63866736806906
3,79,10,41.7,1,158.24639173327964,155.2362705955553
4,72,7,29.5,1,145.5655979015391,144.93701647912238
4,73,7,55.0,2,196.22080863325363,188.9848520473305
9,73,2,25.9,3,164.27310867710872,160.26151416165405
4,85,4,69.6,5,223.51687413763574,218.2464314383518
5,65,1,71.6,3,242.7269580975962,240.32115992175162
9,53,7,55.3,7,249.18645594520416,247.70690006569458
7,85,9,58.2,8,222.01459908622437,216.6525447463591
5,62,8,60.8,6,233.10771671343755,227.7737776034348
9,87,6,24.6,6,158.42952561155727,155.80307447736462
10,73,1,48.8,3,211.71270046089273,205.77837098230637
10,77,5,57.6,6,233.71331819137026,230.73383117521266
10,44,5,26.2,2,190.17819397264623,182.1902316328361
10,62,8,24.3,4,176.73101626388458,170.5842391128625
6,40,10,35.7,7,211.27625720107926,201.55183289232852
5,74,10,71.2,6,242.04304888681494,239.8280539060872
10,82,8,32.4,3,171.5410223515481,167.36813297606201
2,68,10,32.9,8,169.4587967328771,162.62499062906923
7,41,3,65.2,2,255.5945476423405,255.78370706250712
6,40,2,59.2,6,254.1004922443998,252.3217788659962
3,90,4,52.3,4,179.36183208132857,173.39541873725415
3,62,9,52.0,5,205.40357068677542,196.7867967448195
3,65,9,50.0,7,205.33919401643058,196.5108636837566
9,40,6,63.9,5,270.63639471609986,276.5062582031357
5,43,1,60.9,6,251.06039152898404,248.30718529764988
8,88,7,17.7,2,127.79082623218974,133.15136794163115
6,83,3,70.5,4,231.6425720444882,228.24946834213287
3,73,5,57.5,6,210.1549931423778,202.2023595008414
7,80,8,64.0,2,218.53049788713173,213.67392816426045
5,81,8,63.5,8,228.05013533436284,222.83883080368219
10,67,4,34.4,8,204.9238024176058,197.18709260732115
3,40,1,35.3,3,187.94808110694788,178.2772585344797
2,56,4,64.5,4,228.21226496851435,221.19167414092598
6,57,1,30.1,7,187.48845092749895,178.69045556983014
9,73,9,22.6,6,166.26899868542472,161.62338880345862
7,63,6,60.9,6,240.45533661146425,237.20272688478067
5,47,6,40.6,5,205.02785608682552,195.62857821769518
3,82,3,58.5,4,198.25061427364034,190.9018947527451
2,73,7,59.7,7,213.30267343807674,205.22325755684258
4,90,5,50.8,2,173.83816964942122,168.9905116109176
7,80,2,22.0,4,146.2913225365569,145.74248860540624
6,77,10,35.7,8,182.28652674949564,175.20299148658032
5,49,1,59.3,3,233.30802829561827,227.41438981857922
2,74,2,40.5,4,167.41309966084225,161.7045551743989
8,86,5,71.8,5,241.981261599658,241.54048406466592
4,48,8,31.5,7,189.04567474660115,179.44190310281994
3,86,6,51.1,3,177.03783785672113,171.28757745422942
3,77,1,47.9,7,192.35564272067518,184.09610555596277
10,74,8,72.9,3,255.29551467746958,259.11539416298297
4,41,10,18.6,1,151.30279828995148,147.79816014374777
5,64,7,35.6,6,183.76039480997343,175.86036339656093
6,41,1,56.0,4,241.00597026336237,236.09877758397207
6,59,9,33.8,2,175.49926002497173,169.03361004844785
8,59,7,51.0,3,219.31113586634302,212.88880571911616
3,56,3,24.3,8,168.66453379478907,161.21957263235504
6,90,1,56.2,7,208.30168750736198,201.7024884369593
2,89,1,32.0,1,128.93245456372068,133.22637209678945
7,87,7,58.6,7,218.22411295760446,212.6889549450693
9,68,8,43.5,2,197.7551932344879,191.13432197429023
9,79,3,53.4,3,211.02901155179532,205.35106981377635
2,69,6,24.6,1,131.3894093130477,134.10780665845058
4,65,7,44.5,4,189.59795313393798,181.61268024307944
2,50,3,60.4,2,219.4949056433365,211.25401313296436
6,41,6,21.1,8,186.60260910752956,176.80594259958124
3,89,10,72.7,8,230.51630756884649,226.02766507335818
5,70,1,28.7,2,153.86080513149764,151.1154029692678
9,64,3,26.5,8,188.8936397537963,180.86181161609952
4,76,2,20.5,1,125.91474604840494,130.79912125801172
8,42,7,41.6,2,213.0928663989798,205.01669184675094
2,49,1,63.5,3,229.7675497779677,222.57287382776812
2,78,9,63.2,2,199.39801714889427,192.2000118600983
4,88,9,57.1,1,183.64137304695672,178.10401746624197
9,48,8,42.5,5,222.744814988972,215.69675714709913
10,50,1,20.9,4,181.96266107526694,174.37849027698715
6,75,9,71.5,5,242.5885505418737,241.05364903797872
10,40,2,45.0,3,233.00917215562714,227.470853350385
5,55,1,31.7,4,178.9223145188564,171.08792844126904
4,65,6,27.5,8,170.21013249820157,163.30012787027476
6,84,5,31.8,3,153.8604557281204,151.9627802046938
7,76,9,17.9,2,134.40748859123627,137.18246064494733
6,75,8,68.3,8,246.20230200621887,244.84464406115646
9,48,9,65.9,4,263.7726600628629,267.9020295983198
8,87,3,61.3,5,221.5576937433539,216.97371949600853
2,70,4,24.6,7,149.88432331007525,146.84764023618519
4,72,7,41.0,1,167.3734330164259,162.52800829771215
2,49,8,17.4,1,134.76121630022647,135.57640549142042
2,66,9,47.8,6,193.2952806585913,184.5475994747006
9,43,4,60.7,1,249.64649465995893,248.88510807649033
2,55,4,61.4,4,223.2027544114055,215.3701100011352
6,55,8,55.8,3,224.04144834355492,217.5452342656933
7,84,6,18.5,2,129.12788817263353,133.7449439903997
4,81,5,57.2,8,212.8037935091479,205.38395099878855
8,38,10,54.0,8,258.55528936566435,258.4117279847866
6,82,10,25.2,4,145.35808868938244,145.18907690629135
7,78,7,31.6,5,168.50955800748562,163.63038351861744
10,48,5,68.9,5,277.1786310084356,287.22510739138204
3,73,10,19.8,7,140.9384081060942,140.53683253213154
9,90,8,72.5,7,249.46730294035507,251.42248444007612
9,46,2,61.2,6,264.1834988503906,267.39804813365987
4,65,5,62.2,1,214.01662278943422,207.06044274563286
6,46,6,70.0,7,271.81987036287535,277.4211395059657
10,88,5,17.7,4,142.153596113426,143.50944369985828
10,52,9,31.3,7,208.02154484628278,199.73116610016103
10,51,9,17.3,8,185.50982930502042,177.2031037630742
6,74,9,57.9,5,217.6675383581291,211.40120531570193
10,58,10,16.4,5,168.03724774356056,162.617499917403
3,54,7,37.1,3,178.12258471482568,170.333301799339
2,49,9,38.3,8,196.390867955751,186.03668830583254
7,74,6,68.7,2,233.01506184752873,229.99287487129754
2,79,3,56.2,4,192.66139063063608,184.99948304234132
9,88,7,64.9,6,233.80411341820385,231.607472307974
8,56,10,41.4,3,203.17811860833973,195.48074759942835
8,39,1,17.1,2,170.31123678664073,163.41281840291958
4,60,5,70.8,8,256.8455173352184,256.90451172465833
3,45,1,43.3,4,201.94096276839196,192.01266624102888
8,46,7,58.9,8,261.42992294654107,262.9618618475208
2,44,2,62.4,5,238.18433078540315,231.76101074650978
4,79,3,24.3,3,136.67057509651556,138.27781722381692
10,68,5,34.9,4,192.15299724073083,185.2814963351685
8,49,6,70.9,8,281.7570835495458,292.8576989106711
6,89,10,18.3,1,116.68603471181689,125.60520026453729
8,57,1,70.5,4,262.26688651836247,266.02854269875934
9,75,3,42.8,2,191.23653956442922,185.00703198257284
6,55,6,19.0,7,167.28475315384873,160.71964926973968
2,90,1,35.8,8,157.44420882708377,153.65145635584054
2,67,4,38.3,3,165.8001417173918,160.16447330506813
8,51,8,56.9,7,249.94528113650907,248.31837202337002
10,69,6,57.4,4,233.7728489565091,230.6778811241075
5,46,1,40.7,8,216.4827453724705,206.84587253664193
7,57,10,47.0,1,202.75777642107585,195.34685453169905
2,38,3,35.4,2,182.51604751469307,173.21356803255486
2,50,5,42.4,3,188.1716758657996,179.07375134414463
4,71,1,60.0,6,221.1832138189811,214.17162823717922
2,70,4,31.6,8,166.3264877656151,159.92304233141994
10,90,8,25.4,8,167.15285207094928,163.14872962656358
2,84,4,64.5,1,194.37332367402433,187.63767355553796
2,88,10,46.6,7,174.8882703547464,168.71228320958014
7,38,2,32.0,8,214.42915434191082,204.4740163445396
5,74,4,44.0,3,182.03045897344208,175.36730397434025
5,88,5,59.1,5,204.65450061762638,198.09819771377525
10,38,10,33.1,2,207.5849920133919,199.37442605199638
3,43,9,66.2,6,252.0126781306405,249.4046004286505
4,82,1,36.4,6,166.8693876750939,161.64752646096233
8,54,5,44.5,7,224.35896165298973,217.21303576184064
8,69,6,42.8,3,195.2484972113915,188.25265256132116
6,44,5,32.6,5,196.47811285306085,186.98696789342767
8,64,9,28.5,2,168.77312903376446,163.77681857031703
3,40,6,62.2,8,253.90595956281126,250.9616972513417
10,83,1,30.1,4,170.72786170368755,166.3388007592351
5,47,1,44.5,4,210.14836922022442,201.00638902966983
5,64,9,51.0,4,206.27121342667297,198.42510813326908
3,88,6,32.0,5,145.41528179375305,144.86692965703855
8,67,7,38.0,6,197.20930458067275,189.4887959710081
6,57,4,53.2,5,224.4225088903309,217.52364870397238
2,50,8,47.5,2,194.13956107789568,185.0680085411774
8,81,7,55.6,3,208.91355826997187,203.16711236019106
8,75,5,53.8,6,220.57544467008515,214.77499478106708
5,58,6,61.9,5,235.85940356540948,230.92790638178673
5,65,1,20.7,6,155.7070736589668,151.66503642904604
6,46,10,57.6,6,244.42339101717795,240.65808848662329
3,64,1,42.3,4,183.53128740722315,175.50382642392282
4,61,3,30.4,1,157.54676791572996,153.64090732200333
10,52,3,26.8,7,200.5592152295562,191.8584260765789
6,60,10,26.7,4,167.3233005640849,161.66719630185435
2,85,4,41.4,5,162.37021699008685,157.98321916287478
2,75,6,53.4,1,180.78907423586116,174.21247170518032
5,72,5,67.7,1,222.19762056896434,216.90578184962052
6,51,7,68.4,6,261.0937619481438,263.01834092488
4,76,5,70.1,6,235.27645171436762,231.19777497516642
6,38,7,66.7,3,259.66510723887075,260.6750028908545
10,69,3,61.9,5,246.0097652316229,245.6043456362401
8,44,5,38.5,5,215.33653321261187,206.8606728071526
3,72,5,57.3,7,213.8126797389796,205.83080914644358
5,62,2,72.0,6,255.41782286225214,255.83315261539823
10,48,1,70.3,3,274.21195187002377,283.19735020530044
2,75,6,28.2,5,145.67279048306585,144.2489986436088
8,57,3,42.5,3,205.64466178275,197.86593010214426
4,83,4,40.1,5,169.31328274716918,164.0532619018501
10,86,9,15.7,5,142.55289163404325,143.65158410761583
4,54,6,30.9,1,164.0432119149395,158.65707465397676
9,73,1,51.3,8,228.45765798099856,223.28201878587774
4,56,4,72.4,1,241.35986219121946,238.23246720399962
9,51,5,27.5,8,201.73151854934798,192.64576891569993
7,40,4,68.5,5,272.04653300998564,277.9256371131708
6,67,5,62.5,8,242.6921393663193,239.56240798942306
10,51,3,23.0,5,187.88661115510638,179.82292986826863
7,83,10,48.2,6,198.275322127687,191.55804767460953
9,46,8,36.2,5,212.53616052592923,204.28869073375017
4,66,10,54.8,6,214.06113934181798,206.25283061624813
6,51,10,65.0,7,257.27847258567147,257.6551332670033
3,45,8,53.4,2,213.5085713303585,204.7210275706938
2,44,8,50.0,7,219.93428452625264,210.33926765851314
5,82,6,35.0,2,154.4855844628443,152.39384607373788
3,88,6,55.2,2,179.90672860782897,174.1990745618986
10,86,3,60.6,2,219.26594622356953,215.4085863276296
10,45,1,56.2,8,265.9201696440056,269.3922282915622
5,49,10,47.8,2,206.72560652234426,198.2914152027849
5,60,3,44.5,2,192.15704978375646,184.1892670831085
2,57,9,58.3,5,217.8610615556687,209.5145589763758
9,62,1,63.7,5,252.02905894312633,252.52775830449139
10,81,2,16.3,3,142.95034752757894,143.83134519298923
2,78,9,20.7,4,125.13950397379088,129.84435170034376
4,59,7,67.4,5,241.40655959148532,237.64947128643212
6,44,4,40.0,5,210.68950917951898,201.44539272126565
9,44,6,27.1,2,187.87133920923665,179.85113791151014
4,57,5,52.5,4,212.07866411850205,203.7226131038141
10,85,9,27.4,6,168.77694674083233,164.63185600838312
3,55,7,72.1,1,237.28947347157697,233.0009835777884
6,44,7,67.3,5,261.92382786857047,263.78852105155875
3,49,2,37.3,2,180.57228022404257,172.26898407478046
5,58,4,56.7,3,220.01986637773987,212.87483763378833
5,71,8,37.1,6,180.342503733664,173.19394427919954
7,45,6,60.6,7,258.69848521922006,259.10398098616844
3,76,1,44.0,4,176.32557525961758,169.7125894861251
4,84,8,44.8,4,173.47498279409496,168.0323885979937
9,40,1,18.4,8,194.74935368102854,184.8532588756815
3,62,2,20.3,1,133.86817855189076,135.56549723269623
4,40,4,20.3,7,175.4738397835465,166.50421934234203
4,50,5,32.8,3,177.63692715745967,169.7640255972979
6,59,7,36.0,5,189.53174083927297,181.31927869986342
2,60,7,54.5,6,211.57251159549043,202.63909170344024
10,43,10,36.7,2,210.06617628874886,202.3517136948761
10,39,5,58.6,6,268.6363354254569,273.4461816998364
8,66,6,46.5,1,198.5366408117631,191.73644948105726
3,87,9,53.0,8,195.07531287664042,187.46823710795707
7,69,1,66.8,4,240.98594714476639,238.68423288592226
10,69,4,43.3,5,210.55943383675327,203.91019886149314
7,60,2,40.5,7,208.25944731193604,199.73213322701153
10,72,1,39.6,2,191.96772558766997,185.6374951977127
3,61,10,58.3,6,221.2088964436084,213.552860678922
8,65,7,35.7,1,178.74683388172085,172.77366190462908
8,51,7,20.5,5,174.76161060200684,167.63016751331295
8,71,3,25.7,4,164.78636362734437,160.27852613503805
9,85,2,56.8,8,228.2794845753464,224.0713443019895
7,55,9,58.2,6,241.7526367047398,238.2628386659766
7,56,2,69.9,1,248.4811646656978,247.9523189299059
8,44,2,31.8,7,209.5023444570968,200.0870869711957
8,67,9,34.6,4,184.06905361825295,177.2897245972737
10,44,10,43.4,4,228.23814747912667,222.22252019522261
3,66,4,35.8,8,181.60260783158182,173.2051230210009
5,80,4,23.1,8,153.02149971909267,150.10070365630006
3,40,6,45.7,7,219.44862696888666,209.63628627925328
5,79,1,40.7,8,187.80167790898167,180.03145650251798
5,43,8,41.0,4,205.73799544341972,196.3550758493746
3,67,1,68.0,4,229.65968828586648,223.86328843195332
9,67,2,38.4,7,205.8633369701933,198.1143906251347
3,38,2,30.5,5,186.7410584384465,176.67546570835006
2,83,6,17.9,7,125.52322957789067,129.85586185797453
9,48,1,62.5,4,258.75335431001344,260.5775321705503
6,53,10,36.2,6,197.75799157332045,188.81377388769516
6,55,3,53.2,1,213.66796376553953,206.27474614912757
5,48,10,29.5,6,185.56314709495038,176.60949176202757
5,74,2,37.4,8,185.71086516669953,177.77680191285344
6,49,2,53.4,4,228.94398862875434,222.2770815371616
3,59,5,40.5,6,190.08504943268133,181.06126037543638
3,71,3,27.4,8,161.5063187613269,156.10612547686972
9,43,8,51.4,3,237.63213924118764,233.32259496763064
2,62,8,34.4,1,155.70028326639226,152.0449574626909
3,78,10,62.1,8,219.9755284145485,213.01274180231198
4,52,6,39.3,8,203.8854699936654,193.9934911292867
10,81,9,24.3,7,169.54263599091422,164.8824155559811
2,72,10,22.5,8,146.260435429189,144.17437376352996
6,77,3,46.1,3,187.4189444321966,180.74105700452094
3,42,5,50.5,2,211.15215952404014,201.88300341296568
4,57,7,28.2,2,159.30504325163577,154.78399652556655
9,67,2,54.1,1,216.62879250903856,210.98971024097318
8,85,7,66.1,5,231.68422694629552,228.81878589052025
10,42,4,45.0,1,224.57820854032212,218.31305292216598
3,52,8,43.3,6,200.9430604548682,191.30569449707318
6,64,1,47.1,1,194.63527720578503,187.18877998671715
4,83,1,33.1,4,153.40670383183084,150.9877795998685
7,47,1,67.6,3,258.45589553991044,259.84918905430015
4,46,4,68.9,7,262.42090777373033,263.4541520292346
5,43,4,66.2,6,260.57537347651294,261.1656404189252
6,42,7,49.4,6,232.88553497959845,226.067036505176
4,44,4,21.9,5,168.69582026330542,161.2551730410447
4,72,8,48.5,8,203.59221592938667,195.15263465121726
4,90,3,15.1,3,109.66395118344316,120.46306539981026
8,46,6,21.0,5,180.23392214187965,172.18089936275666
6,52,3,71.2,2,253.57716636124874,253.8386279421086
9,79,1,48.3,4,204.88259782629873,198.54725314881463
5,79,4,72.4,1,225.20505368185917,220.8749018454654
8,66,7,18.3,1,144.8815079296836,144.66986261494864
6,77,8,27.7,3,151.63376568137517,149.89607160648015
7,72,8,59.4,4,223.09600996849719,217.76799554469287
10,54,10,31.0,7,205.53586977346828,197.31491801679647
7,42,2,26.9,4,188.61004037482257,179.56352892396174
9,48,9,16.5,2,163.75812566769682,158.76244598739055
6,38,10,70.2,7,278.4380090586784,286.60772565345223
7,38,8,55.3,1,235.36774327327822,230.19547286334674
7,49,7,28.4,1,174.9745451315631,168.2526060298111
8,79,5,46.9,5,200.84642053749295,194.11689701585064
10,90,2,24.5,4,153.8460028607958,152.63135747228608
9,61,3,42.1,8,221.0838119399204,213.95084910108503
7,52,4,49.5,2,216.08322754223587,208.69962294268774
4,58,3,21.2,4,152.21135970657656,148.7564575376875
7,60,2,69.5,3,250.58179832008523,250.52619459101004
10,74,3,58.1,1,221.78676154279162,217.57681405268758
9,69,5,41.4,3,196.60718523067555,189.75359249614732
9,52,9,51.8,3,230.39003481486333,225.3764283249411
6,62,6,54.3,5,221.80580241825922,215.01145865449502
8,38,9,37.0,2,207.4891683521015,198.85258210325236
5,50,1,35.0,6,195.86149138799686,186.27541408005106
3,69,7,17.4,1,121.39230607367476,127.39279951590774
4,45,7,69.4,3,251.03129208299308,249.25606383411827
3,47,2,69.1,1,239.4461016255813,234.78260857448788
3,52,5,65.3,6,243.19798273659234,238.72653725061923
2,52,1,20.3,5,151.5742333916805,147.4456666314493
3,41,10,57.6,3,227.7604380178719,220.15843064974092
5,79,6,35.8,8,177.61700124954908,170.79797079407155
8,89,6,35.3,3,163.64353092012163,160.60225847035127
4,42,9,29.0,8,192.50888208917186,182.18000682455218
10,46,6,27.1,3,193.13594912351556,185.00884642092836
6,90,3,26.0,7,150.6753591353799,149.07300149106658
3,55,4,53.5,1,202.55325613030942,194.04181215796999
9,89,5,26.8,4,154.70608121060604,153.1962551489316
5,58,2,65.7,2,234.27609476101748,229.59553991614382
4,56,3,72.5,8,263.90283431792363,266.13509835033534
4,86,10,21.1,3,123.26874554502321,129.35496275484334
10,90,2,23.6,1,142.63581260802192,144.36568375705073
9,56,10,56.5,2,232.4799506325826,228.47355754661092
8,58,5,61.9,3,241.2073511715496,238.6715680957884
8,74,5,37.4,3,180.84120860588968,174.81483662287246
7,83,1,27.3,1,144.40955865493183,144.9037144722743
7,90,1,55.4,8,213.78747714397878,207.57938508113767
9,53,7,70.9,4,269.2657682485723,276.1449851593303
6,89,8,15.2,4,120.66794803838766,127.80586502146808
2,58,7,64.8,7,236.01082307519735,229.98394735857613
