Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,predicted_heating_oil
6,83,3,70.5,4,231.6425720444882
3,73,5,57.5,6,210.1549931423778
7,80,8,64.0,2,218.53049788713173
5,81,8,63.5,8,228.05013533436284
10,67,4,34.4,8,204.9238024176058
3,40,1,35.3,3,187.94808110694788
2,56,4,64.5,4,228.21226496851435
6,57,1,30.1,7,187.48845092749895
9,73,9,22.6,6,166.26899868542472
7,63,6,60.9,6,240.45533661146425
5,47,6,40.6,5,205.02785608682552
3,82,3,58.5,4,198.25061427364034
2,73,7,59.7,7,213.30267343807674
4,90,5,50.8,2,173.83816964942122
7,80,2,22.0,4,146.2913225365569
6,77,10,35.7,8,182.28652674949564
5,49,1,59.3,3,233.30802829561827
2,74,2,40.5,4,167.41309966084225
8,86,5,71.8,5,241.981261599658
4,48,8,31.5,7,189.04567474660115
3,86,6,51.1,3,177.03783785672113
3,77,1,47.9,7,192.35564272067518
10,74,8,72.9,3,255.29551467746958
4,41,10,18.6,1,151.30279828995148
5,64,7,35.6,6,183.76039480997343
6,41,1,56.0,4,241.00597026336237
6,59,9,33.8,2,175.49926002497173
8,59,7,51.0,3,219.31113586634302
3,56,3,24.3,8,168.66453379478907
6,90,1,56.2,7,208.30168750736198
2,89,1,32.0,1,128.93245456372068
7,87,7,58.6,7,218.22411295760446
9,68,8,43.5,2,197.7551932344879
9,79,3,53.4,3,211.02901155179532
2,69,6,24.6,1,131.3894093130477
4,65,7,44.5,4,189.59795313393798
2,50,3,60.4,2,219.4949056433365
6,41,6,21.1,8,186.60260910752956
3,89,10,72.7,8,230.51630756884649
5,70,1,28.7,2,153.86080513149764
9,64,3,26.5,8,188.8936397537963
4,76,2,20.5,1,125.91474604840494
8,42,7,41.6,2,213.0928663989798
2,49,1,63.5,3,229.7675497779677
2,78,9,63.2,2,199.39801714889427
4,88,9,57.1,1,183.64137304695672
9,48,8,42.5,5,222.744814988972
10,50,1,20.9,4,181.96266107526694
6,75,9,71.5,5,242.5885505418737
10,40,2,45.0,3,233.00917215562714
5,55,1,31.7,4,178.9223145188564
4,65,6,27.5,8,170.21013249820157
6,84,5,31.8,3,153.8604557281204
7,76,9,17.9,2,134.40748859123627
6,75,8,68.3,8,246.20230200621887
9,48,9,65.9,4,263.7726600628629
8,87,3,61.3,5,221.5576937433539
2,70,4,24.6,7,149.88432331007525
4,72,7,41.0,1,167.3734330164259
2,49,8,17.4,1,134.76121630022647
2,66,9,47.8,6,193.2952806585913
9,43,4,60.7,1,249.64649465995893
2,55,4,61.4,4,223.2027544114055
6,55,8,55.8,3,224.04144834355492
7,84,6,18.5,2,129.12788817263353
4,81,5,57.2,8,212.8037935091479
8,38,10,54.0,8,258.55528936566435
6,82,10,25.2,4,145.35808868938244
7,78,7,31.6,5,168.50955800748562
10,48,5,68.9,5,277.1786310084356
3,73,10,19.8,7,140.9384081060942
9,90,8,72.5,7,249.46730294035507
9,46,2,61.2,6,264.1834988503906
4,65,5,62.2,1,214.01662278943422
6,46,6,70.0,7,271.81987036287535
10,88,5,17.7,4,142.153596113426
10,52,9,31.3,7,208.02154484628278
10,51,9,17.3,8,185.50982930502042
6,74,9,57.9,5,217.6675383581291
10,58,10,16.4,5,168.03724774356056
3,54,7,37.1,3,178.12258471482568
2,49,9,38.3,8,196.390867955751
7,74,6,68.7,2,233.01506184752873
2,79,3,56.2,4,192.66139063063608
9,88,7,64.9,6,233.80411341820385
8,56,10,41.4,3,203.17811860833973
8,39,1,17.1,2,170.31123678664073
4,60,5,70.8,8,256.8455173352184
3,45,1,43.3,4,201.94096276839196
8,46,7,58.9,8,261.42992294654107
2,44,2,62.4,5,238.18433078540315
4,79,3,24.3,3,136.67057509651556
10,68,5,34.9,4,192.15299724073083
8,49,6,70.9,8,281.7570835495458
6,89,10,18.3,1,116.68603471181689
8,57,1,70.5,4,262.26688651836247
9,75,3,42.8,2,191.23653956442922
6,55,6,19.0,7,167.28475315384873
2,90,1,35.8,8,157.44420882708377
2,67,4,38.3,3,165.8001417173918
8,51,8,56.9,7,249.94528113650907
10,69,6,57.4,4,233.7728489565091
5,46,1,40.7,8,216.4827453724705
7,57,10,47.0,1,202.75777642107585
2,38,3,35.4,2,182.51604751469307
2,50,5,42.4,3,188.1716758657996
4,71,1,60.0,6,221.1832138189811
2,70,4,31.6,8,166.3264877656151
10,90,8,25.4,8,167.15285207094928
2,84,4,64.5,1,194.37332367402433
2,88,10,46.6,7,174.8882703547464
7,38,2,32.0,8,214.42915434191082
5,74,4,44.0,3,182.03045897344208
5,88,5,59.1,5,204.65450061762638
10,38,10,33.1,2,207.5849920133919
3,43,9,66.2,6,252.0126781306405
4,82,1,36.4,6,166.8693876750939
8,54,5,44.5,7,224.35896165298973
8,69,6,42.8,3,195.2484972113915
6,44,5,32.6,5,196.47811285306085
8,64,9,28.5,2,168.77312903376446
3,40,6,62.2,8,253.90595956281126
10,83,1,30.1,4,170.72786170368755
5,47,1,44.5,4,210.14836922022442
5,64,9,51.0,4,206.27121342667297
3,88,6,32.0,5,145.41528179375305
8,67,7,38.0,6,197.20930458067275
6,57,4,53.2,5,224.4225088903309
2,50,8,47.5,2,194.13956107789568
8,81,7,55.6,3,208.91355826997187
8,75,5,53.8,6,220.57544467008515
5,58,6,61.9,5,235.85940356540948
5,65,1,20.7,6,155.7070736589668
6,46,10,57.6,6,244.42339101717795
3,64,1,42.3,4,183.53128740722315
4,61,3,30.4,1,157.54676791572996
10,52,3,26.8,7,200.5592152295562
6,60,10,26.7,4,167.3233005640849
2,85,4,41.4,5,162.37021699008685
2,75,6,53.4,1,180.78907423586116
5,72,5,67.7,1,222.19762056896434
6,51,7,68.4,6,261.0937619481438
4,76,5,70.1,6,235.27645171436762
6,38,7,66.7,3,259.66510723887075
10,69,3,61.9,5,246.0097652316229
8,44,5,38.5,5,215.33653321261187
3,72,5,57.3,7,213.8126797389796
5,62,2,72.0,6,255.41782286225214
10,48,1,70.3,3,274.21195187002377
2,75,6,28.2,5,145.67279048306585
8,57,3,42.5,3,205.64466178275
4,83,4,40.1,5,169.31328274716918
10,86,9,15.7,5,142.55289163404325
4,54,6,30.9,1,164.0432119149395
9,73,1,51.3,8,228.45765798099856
4,56,4,72.4,1,241.35986219121946
9,51,5,27.5,8,201.73151854934798
7,40,4,68.5,5,272.04653300998564
6,67,5,62.5,8,242.6921393663193
10,51,3,23.0,5,187.88661115510638
7,83,10,48.2,6,198.275322127687
9,46,8,36.2,5,212.53616052592923
4,66,10,54.8,6,214.06113934181798
6,51,10,65.0,7,257.27847258567147
3,45,8,53.4,2,213.5085713303585
2,44,8,50.0,7,219.93428452625264
5,82,6,35.0,2,154.4855844628443
3,88,6,55.2,2,179.90672860782897
10,86,3,60.6,2,219.26594622356953
10,45,1,56.2,8,265.9201696440056
5,49,10,47.8,2,206.72560652234426
5,60,3,44.5,2,192.15704978375646
2,57,9,58.3,5,217.8610615556687
9,62,1,63.7,5,252.02905894312633
10,81,2,16.3,3,142.95034752757894
2,78,9,20.7,4,125.13950397379088
4,59,7,67.4,5,241.40655959148532
6,44,4,40.0,5,210.68950917951898
9,44,6,27.1,2,187.87133920923665
4,57,5,52.5,4,212.07866411850205
10,85,9,27.4,6,168.77694674083233
3,55,7,72.1,1,237.28947347157697
6,44,7,67.3,5,261.92382786857047
3,49,2,37.3,2,180.57228022404257
5,58,4,56.7,3,220.01986637773987
5,71,8,37.1,6,180.342503733664
7,45,6,60.6,7,258.69848521922006
3,76,1,44.0,4,176.32557525961758
4,84,8,44.8,4,173.47498279409496
9,40,1,18.4,8,194.74935368102854
3,62,2,20.3,1,133.86817855189076
4,40,4,20.3,7,175.4738397835465
4,50,5,32.8,3,177.63692715745967
6,59,7,36.0,5,189.53174083927297
2,60,7,54.5,6,211.57251159549043
10,43,10,36.7,2,210.06617628874886
10,39,5,58.6,6,268.6363354254569
8,66,6,46.5,1,198.5366408117631
3,87,9,53.0,8,195.07531287664042
7,69,1,66.8,4,240.98594714476639
10,69,4,43.3,5,210.55943383675327
7,60,2,40.5,7,208.25944731193604
10,72,1,39.6,2,191.96772558766997
3,61,10,58.3,6,221.2088964436084
8,65,7,35.7,1,178.74683388172085
8,51,7,20.5,5,174.76161060200684
8,71,3,25.7,4,164.78636362734437
9,85,2,56.8,8,228.2794845753464
7,55,9,58.2,6,241.7526367047398
7,56,2,69.9,1,248.4811646656978
8,44,2,31.8,7,209.5023444570968
8,67,9,34.6,4,184.06905361825295
10,44,10,43.4,4,228.23814747912667
3,66,4,35.8,8,181.60260783158182
5,80,4,23.1,8,153.02149971909267
3,40,6,45.7,7,219.44862696888666
5,79,1,40.7,8,187.80167790898167
5,43,8,41.0,4,205.73799544341972
3,67,1,68.0,4,229.65968828586648
9,67,2,38.4,7,205.8633369701933
3,38,2,30.5,5,186.7410584384465
2,83,6,17.9,7,125.52322957789067
9,48,1,62.5,4,258.75335431001344
6,53,10,36.2,6,197.75799157332045
6,55,3,53.2,1,213.66796376553953
5,48,10,29.5,6,185.56314709495038
5,74,2,37.4,8,185.71086516669953
6,49,2,53.4,4,228.94398862875434
3,59,5,40.5,6,190.08504943268133
3,71,3,27.4,8,161.5063187613269
9,43,8,51.4,3,237.63213924118764
2,62,8,34.4,1,155.70028326639226
3,78,10,62.1,8,219.9755284145485
4,52,6,39.3,8,203.8854699936654
10,81,9,24.3,7,169.54263599091422
2,72,10,22.5,8,146.260435429189
6,77,3,46.1,3,187.4189444321966
3,42,5,50.5,2,211.15215952404014
4,57,7,28.2,2,159.30504325163577
9,67,2,54.1,1,216.62879250903856
8,85,7,66.1,5,231.68422694629552
10,42,4,45.0,1,224.57820854032212
3,52,8,43.3,6,200.9430604548682
6,64,1,47.1,1,194.63527720578503
4,83,1,33.1,4,153.40670383183084
7,47,1,67.6,3,258.45589553991044
4,46,4,68.9,7,262.42090777373033
5,43,4,66.2,6,260.57537347651294
6,42,7,49.4,6,232.88553497959845
4,44,4,21.9,5,168.69582026330542
4,72,8,48.5,8,203.59221592938667
4,90,3,15.1,3,109.66395118344316
8,46,6,21.0,5,180.23392214187965
6,52,3,71.2,2,253.57716636124874
9,79,1,48.3,4,204.88259782629873
5,79,4,72.4,1,225.20505368185917
8,66,7,18.3,1,144.8815079296836
6,77,8,27.7,3,151.63376568137517
7,72,8,59.4,4,223.09600996849719
10,54,10,31.0,7,205.53586977346828
7,42,2,26.9,4,188.61004037482257
9,48,9,16.5,2,163.75812566769682
6,38,10,70.2,7,278.4380090586784
7,38,8,55.3,1,235.36774327327822
7,49,7,28.4,1,174.9745451315631
8,79,5,46.9,5,200.84642053749295
10,90,2,24.5,4,153.8460028607958
9,61,3,42.1,8,221.0838119399204
7,52,4,49.5,2,216.08322754223587
4,58,3,21.2,4,152.21135970657656
7,60,2,69.5,3,250.58179832008523
10,74,3,58.1,1,221.78676154279162
9,69,5,41.4,3,196.60718523067555
9,52,9,51.8,3,230.39003481486333
6,62,6,54.3,5,221.80580241825922
8,38,9,37.0,2,207.4891683521015
5,50,1,35.0,6,195.86149138799686
3,69,7,17.4,1,121.39230607367476
4,45,7,69.4,3,251.03129208299308
3,47,2,69.1,1,239.4461016255813
3,52,5,65.3,6,243.19798273659234
2,52,1,20.3,5,151.5742333916805
3,41,10,57.6,3,227.7604380178719
5,79,6,35.8,8,177.61700124954908
8,89,6,35.3,3,163.64353092012163
4,42,9,29.0,8,192.50888208917186
10,46,6,27.1,3,193.13594912351556
6,90,3,26.0,7,150.6753591353799
3,55,4,53.5,1,202.55325613030942
9,89,5,26.8,4,154.70608121060604
5,58,2,65.7,2,234.27609476101748
4,56,3,72.5,8,263.90283431792363
4,86,10,21.1,3,123.26874554502321
10,90,2,23.6,1,142.63581260802192
9,56,10,56.5,2,232.4799506325826
8,58,5,61.9,3,241.2073511715496
8,74,5,37.4,3,180.84120860588968
7,83,1,27.3,1,144.40955865493183
7,90,1,55.4,8,213.78747714397878
9,53,7,70.9,4,269.2657682485723
6,89,8,15.2,4,120.66794803838766
2,58,7,64.8,7,236.01082307519735
3,59,5,48.6,6,205.4453506875147
3,88,3,41.5,5,163.96603547233934
9,47,6,19.3,7,186.31171842038384
3,57,9,33.6,6,178.02448082308595
2,75,1,71.7,8,238.5594299023361
3,61,4,18.7,8,153.52092146483602
5,50,5,67.0,1,239.9908987695145
7,65,7,19.5,6,160.03035517153248
4,67,1,38.0,1,167.10121991442264
6,42,3,46.0,7,230.3199452109297
2,67,10,60.4,3,206.63794072733648
10,41,8,27.6,8,213.9118253121001
8,41,1,56.3,3,246.077093050925
8,87,10,24.2,7,156.2896818110025
7,45,1,16.4,3,163.10186745439654
8,74,3,43.1,7,204.67868666685217
7,70,8,30.8,4,170.5991187174565
5,53,3,23.5,1,155.25007928798772
3,72,3,28.6,2,143.90581546406287
3,58,7,22.1,4,149.3689194029655
9,73,2,19.2,1,145.23201423026154
2,51,3,28.6,3,161.4902074982671
3,87,3,62.2,4,200.92143189782234
4,74,6,33.9,7,171.3567274770013
6,62,1,51.2,2,207.31632105833563
4,74,3,72.6,1,226.27343878582167
7,67,10,49.1,2,201.21667421949206
4,71,8,68.9,5,233.64305223282906
9,67,3,69.6,7,264.8504132902249
6,87,4,70.4,6,234.13357723195048
7,48,10,45.4,5,220.21707229922902
9,84,3,50.1,1,194.08983468265484
6,50,6,17.2,4,158.71347904399573
3,61,7,41.5,2,177.21475923006204
4,66,2,69.2,7,245.96439971761947
2,70,2,43.2,4,176.00969310499744
2,85,7,37.9,8,164.70095435435468
10,66,2,56.3,7,244.51185605579101
9,84,2,64.7,5,234.62615227565095
10,57,5,46.9,1,214.96586480755818
9,60,10,64.2,2,243.60522546623804
8,78,4,61.5,8,239.08403134917577
6,70,9,32.6,1,160.49547398012493
7,82,10,55.8,7,216.72440993264684
3,38,7,60.2,2,232.66603035915153
3,39,7,71.2,7,268.4957256623567
7,69,5,54.6,3,213.9687344967192
9,49,8,59.0,7,259.5008543642099
6,90,7,24.0,3,133.49725795414523
3,87,2,34.6,5,151.9289861732771
7,42,8,60.1,8,263.1684612554842
8,63,7,45.7,5,212.11973542830046
2,83,6,56.8,1,180.28362204415976
6,70,6,65.3,3,229.37682466170037
5,74,2,43.4,7,193.92103605842306
2,76,3,18.1,5,126.18628453546263
7,80,5,28.0,8,169.80505807699217
7,41,6,64.1,2,252.97299526506282
5,50,9,30.8,1,170.62951244122527
9,70,5,45.0,8,218.40401272082315
3,40,10,44.6,5,210.3128860026432
10,54,1,24.1,5,187.72226524957546
3,50,3,62.9,3,231.23859579118167
4,73,9,42.3,8,190.78729653236041
3,69,1,45.7,5,188.80103502271248
4,57,10,55.7,3,214.08645867612017
6,49,7,55.5,1,222.530156273731
5,81,6,52.6,6,201.40149726366235
7,73,4,36.5,2,173.17930380911602
2,70,3,45.6,5,183.55019500118203
9,63,8,23.6,5,173.8672632139872
3,43,1,69.6,8,266.22410017346334
8,77,8,24.9,2,150.82625465535958
10,84,2,63.8,6,239.92230856344264
2,44,1,23.5,2,155.0919964924907
10,65,6,52.5,4,227.9573078899565
7,50,4,27.5,4,182.43779738921728
4,62,7,61.6,2,218.29696547687334
3,60,1,30.3,1,154.7482884607403
6,52,7,57.1,2,226.12475012330722
3,70,4,17.6,2,124.60586509283978
2,90,5,64.1,6,204.06067241542053
9,64,9,45.2,2,204.2769246769916
3,41,5,45.0,1,198.42361855734617
10,49,9,49.5,7,245.1421841018596
4,43,10,43.8,8,219.5269659454172
3,90,10,25.6,2,121.32289678905781
6,90,4,67.9,8,233.12103381748014
6,66,7,53.7,7,223.34864086159595
3,67,2,32.5,3,158.99349090177182
10,43,2,54.5,6,257.9204606379518
3,85,6,53.9,2,180.04886484251068
8,79,4,52.9,4,209.23511994261696
5,71,1,63.2,7,234.254337408602
10,43,7,42.8,7,238.00854629619485
9,43,10,59.2,1,245.73082334717935
10,67,3,54.9,3,228.13801725123912
6,89,1,59.4,2,199.39992773732138
10,75,7,24.1,5,168.39950578331587
8,90,8,48.0,1,180.16512586207404
10,53,6,59.3,4,251.28185468769578
5,42,7,26.0,2,172.00498481395886
8,71,10,66.1,1,230.6450468455344
9,42,1,53.1,1,236.639068945922
7,63,5,51.0,6,221.8601635911796
6,68,4,53.5,2,205.9275630022953
7,68,6,53.8,8,228.98141263810047
3,61,5,58.6,2,209.99911890595564
5,76,8,22.4,1,132.2816349851138
7,39,2,58.9,4,251.90008176826353
2,64,2,54.8,6,209.55756118309083
2,54,1,66.3,5,237.06732733828906
5,52,5,46.7,2,202.92491248286257
2,46,10,27.8,1,156.7333973206442
5,45,6,22.7,7,179.15739323563616
2,40,9,46.5,6,213.42725179206832
4,73,6,55.7,3,200.89460062621248
8,58,2,56.4,3,231.31310252637047
6,44,6,21.6,3,169.10425589333374
6,60,10,32.3,7,187.44625821163856
8,41,2,44.1,3,222.76329598086193
2,43,5,56.0,2,216.87784406351648
8,50,2,19.9,4,172.21774629474544
10,84,3,32.8,1,165.118291725347
9,73,5,37.6,5,192.26028502500952
5,49,8,57.9,7,242.07478196939388
10,76,4,19.6,7,165.8681274454837
6,47,4,30.5,8,199.57046138507408
8,58,9,57.8,7,245.38958996724898
9,50,10,44.6,4,221.4639817367768
9,53,6,53.0,5,238.667757360062
3,44,2,54.2,5,226.46942257117968
8,52,4,51.2,5,232.64551097504557
6,86,9,34.6,1,150.38216885311726
2,41,2,61.2,8,248.01959048225794
6,87,9,73.0,5,235.00357169661794
6,88,3,39.7,7,178.3933744373577
3,73,7,36.2,7,172.57386285361255
2,49,9,62.0,2,222.32699140060444
2,60,1,17.5,6,142.4793436106054
4,87,9,17.8,4,119.48808032850862
9,70,8,51.3,6,223.47966808103777
2,40,7,61.2,5,238.4925810583768
9,39,7,33.4,2,203.9853279541644
6,80,3,39.0,7,184.01892704733683
9,90,10,72.0,2,232.32292898051531
3,86,5,62.9,6,209.0965916448317
7,46,9,32.8,6,201.40787541138792
3,55,8,31.6,2,163.4772687217925
2,63,9,16.5,5,133.3795822079596
5,86,7,35.5,1,148.61089962990923
3,71,10,60.1,3,206.42757404441872
10,70,10,40.9,3,197.7322790525131
4,82,7,20.0,3,125.19485727402603
9,58,4,31.9,2,185.1630713890716
4,38,10,52.4,7,237.0132201889402
7,71,10,68.1,8,252.77749769708004
2,84,9,32.9,8,155.7313531427679
8,83,4,27.4,3,154.2342929285557
8,69,2,19.6,7,164.6389944887003
2,73,9,48.1,4,181.44465783421586
7,62,2,45.4,8,218.98106492921002
3,74,1,22.5,4,137.2926517751592
8,52,3,45.4,4,218.65747521880746
2,45,2,58.4,7,236.06553365149497
9,71,6,71.3,1,245.05512142747676
9,83,4,27.3,7,170.55100612029617
2,73,4,36.5,7,169.8433220508544
6,81,5,61.1,7,224.7017168544142
9,53,1,18.0,2,163.6852377249306
6,78,3,64.4,3,221.2527240107211
2,77,4,16.3,6,124.89306252452354
4,57,7,18.1,8,159.1590552469963
8,79,3,52.3,2,201.94018828750154
2,71,10,19.0,1,118.31758121230119
4,63,5,24.3,8,166.0586403621375
4,38,10,58.4,8,251.55905115622903
8,50,8,39.2,2,201.410151462022
4,39,10,45.1,7,222.30086246823834
4,68,2,17.5,3,133.514391710972
7,68,4,30.1,5,174.89187588000416
5,85,3,52.1,8,203.8480831094262
6,48,6,24.2,5,176.8938900124743
4,65,6,22.9,1,139.3121881877683
2,77,2,47.7,8,191.13065115797215
7,63,1,32.4,1,171.46332457439922
4,44,10,27.4,6,181.2223134060657
4,49,6,42.4,1,190.19666331217311
4,47,5,18.6,1,146.98070131813785
6,62,1,46.3,1,194.8564569281229
6,69,2,47.0,8,212.09630932569118
4,40,3,59.5,1,230.98166080969142
4,46,2,15.4,7,161.32412317910132
4,63,8,17.4,7,149.27052371522126
7,48,6,44.1,1,205.7946326669741
10,39,5,56.0,4,257.37020828043893
5,61,7,45.4,7,208.1196628020242
10,44,9,45.8,7,242.47136647767758
4,76,10,33.7,8,171.692930250593
